ID,Nom_du_Vin,Type,Region,Cepages,Prix,Description_Narrative,Mots_Cles,Accords_Mets
1,"Morgon ""Côte du Py""",Rouge,Beaujolais,Gamay,"€18,00","Un rouge léger et croquant, plein de fruits rouges. Idéal pour un apéritif dînatoire ou une planche de charcuterie entre copains. Très facile à boire, c'est le vin de la convivialité sans prise de tête.","Fruité, Léger, Copains, Apéro, Gouleyant","Charcuterie, Terrines"
2,"Brouilly ""Château de Pierreux""",Rouge,Beaujolais,Gamay,"€16,00",Un vin rouge souple avec des notes de myrtille et de pivoine. Parfait pour ceux qui n'aiment pas les vins trop forts. Il accompagne bien un déjeuner léger ou une volaille rôtie le dimanche.,"Souple, Floral, Déjeuner, Léger, Volaille","Poulet rôti, Fromage frais"
3,"Fleurie ""La Madone""",Rouge,Beaujolais,Gamay,"€19,00","Le plus féminin des vins du Beaujolais. Élégant, soyeux, avec des arômes de violette. Une belle option pour un rendez-vous galant décontracté ou un pique-nique chic.","Élégant, Soyeux, Galant, Floral, Pique-nique","Carpaccio, Salades composées"
4,"Saint-Amour ""Vers l'Église""",Rouge,Beaujolais,Gamay,"€20,00","Un vin au nom évocateur pour la Saint-Valentin. Tendre et fruité, il offre des notes de kirsch et d'épices douces. C'est un vin de plaisir immédiat, parfait pour séduire en douceur.","Romantique, Tendre, Fruité, Épices, Plaisir","Dinde, Tarte aux fraises"
5,"Pinot Noir d'Alsace ""Réserve""",Rouge,Alsace,Pinot Noir,"€15,00","Un rouge très léger, presque transparent, aux arômes de cerise griotte. Idéal en été quand il fait chaud mais qu'on veut boire du rouge, servi un peu frais lors d'un barbecue.","Très léger, Frais, Été, Cerise, Barbecue","Grillades, Thon rouge"
6,"Sancerre Rouge ""La Croix au Garde""",Rouge,Loire,Pinot Noir,"€22,00","Un vin rouge fin et délicat, avec une belle minéralité typique de la Loire. C'est un choix raffiné pour accompagner un poisson ou une viande blanche sans écraser le plat.","Fin, Minéral, Délicat, Raffiné, Poisson","Saumon, Veau"
7,"Saumur-Champigny ""Les Roches""",Rouge,Loire,Cabernet Franc,"€14,00","Un vin de bistro par excellence. Des notes de poivron rouge grillé et de framboise. Il a ce côté ""canaille"" qui appelle une bonne bavette à l'échalote ou un repas simple entre amis.","Bistro, Poivron, Vif, Amis, Viande","Bavette, Steak frites"
8,"Chinon ""Les Grézeaux""",Rouge,Loire,Cabernet Franc,"€18,00",Un vin rouge avec du caractère mais de la fraîcheur. On sent le crayon à papier (graphite) et les fruits noirs. Idéal pour un dîner d'automne avec des plats mijotés simples.,"Caractère, Graphite, Fraîcheur, Automne, Mijoté","Pot-au-feu, Petit salé"
9,"Côtes du Rhône ""Parallèle 45""",Rouge,Rhône,"Grenache, Syrah","€12,00","Le passe-partout idéal. Chaleureux, épicé, avec des notes de poivre et de fruits noirs. C'est le vin de table parfait pour une pizza, des pâtes ou un burger improvisé.","Épicé, Chaleureux, Poivre, Pizza, Quotidien","Pizza, Burger, Pâtes"
10,"Crozes-Hermitage ""Les Meysonniers""",Rouge,Rhône,Syrah,"€24,00","Un vin violet foncé, sentant bon la violette, le lard fumé et le poivre noir. Très aromatique et séducteur. Parfait pour impressionner lors d'un dîner avec une viande rouge grillée.","Aromatique, Violette, Fumé, Dîner, Viande","Côte de bœuf, Agneau"
11,"Saint-Joseph ""Offerus""",Rouge,Rhône,Syrah,"€30,00","Un grand vin du Rhône, élégant et racé. Des tanins fins, une belle longueur. C'est un vin de gastronomie pour un repas soigné, un anniversaire ou une célébration.","Racé, Élégant, Longueur, Gastronomie, Célébration","Canard, Gibier"
12,"Châteauneuf-du-Pape ""La Fiole""",Rouge,Rhône,"Grenache, Syrah","€40,00","Un vin puissant, solaire et capiteux. Il sent la garrigue, les olives noires et le soleil. Idéal pour se réchauffer en hiver avec un plat très riche et consistant.","Puissant, Solaire, Garrigue, Hiver, Riche","Daube provençale, Fromages forts"
13,"Gigondas ""Dentelles""",Rouge,Rhône,"Grenache, Syrah","€28,00","Un vin corsé et généreux, avec beaucoup de matière. Il évoque les fruits confits et le cacao. Parfait pour les amateurs de vins qui ont du ""corps"" et de la mâche.","Corsé, Généreux, Cacao, Corps, Matière","Gibier en sauce, Chocolat noir"
14,"Vacqueyras ""Seigneur de Lauris""",Rouge,Rhône,"Grenache, Syrah","€22,00","Un vin rustique et authentique, aux arômes de cuir et d'épices. Il convient bien aux repas champêtres, à la chasse ou aux plats traditionnels du terroir.","Rustique, Authentique, Cuir, Terroir, Champêtre","Cassoulet, Saucisses"
